iter	Passed	Remaining
426	2191	2940
427	2199	2940
428	2208	2939
429	2217	2939
430	2226	2939
431	2235	2938
432	2244	2939
433	2255	2941
434	2264	2940
435	2273	2940
436	2282	2941
437	2291	2940
438	2300	2939
439	2310	2940
440	2319	2940
441	2328	2940
442	2338	2940
443	2347	2940
444	2358	2940
445	2366	2939
446	2376	2939
447	2385	2939
448	2395	2939
449	2404	2939
450	2413	2938
451	2423	2937
452	2432	2936
453	2441	2936
454	2450	2935
455	2459	2934
456	2470	2935
457	2481	2936
458	2492	2937
459	2502	2938
460	2513	2939
461	2524	2939
462	2533	2938
463	2543	2938
464	2553	2938
465	2563	2937
466	2572	2936
467	2582	2936
468	2592	2935
469	2602	2934
470	2611	2933
471	2620	2931
472	2630	2930
473	2638	2928
474	2648	2927
475	2657	2925
476	2668	2925
477	2677	2924
478	2687	2922
479	2696	2921
480	2705	2919
481	2714	2917
482	2723	2915
483	2735	2916
484	2747	2916
485	2756	2915
486	2765	2913
487	2774	2910
488	2815	2942
489	2853	2970
490	2887	2992
491	2909	3003
492	2921	3004
493	2954	3026
494	2966	3025
495	2976	3024
496	2988	3024
497	2998	3023
498	3008	3020
499	3019	3019
500	3029	3017
501	3040	3016
502	3051	3015
503	3062	3013
504	3073	3012
505	3084	3011
506	3094	3008
507	3104	3006
508	3113	3003
509	3123	3000
510	3133	2998
511	3143	2996
512	3155	2995
513	3168	2996
514	3180	2995
515	3200	3001
516	3212	3001
517	3229	3004
518	3236	2999
519	3243	2993
520	3249	2987
521	3254	2979
522	3259	2972
523	3265	2966
524	3270	2958
525	3275	2951
526	3280	2944
527	3286	2937
528	3290	2930
529	3295	2922
530	3300	2915
531	3306	2908
532	3314	2903
533	3318	2896
534	3324	2889
535	3329	2882
536	3334	2874
537	3339	2867
538	3345	2861
539	3350	2854
540	3355	2846
541	3360	2839
542	3365	2832
543	3370	2825
544	3376	2818
545	3381	2811
546	3386	2804
547	3391	2797
548	3397	2790
549	3402	2783
550	3407	2776
551	3412	2769
552	3418	2762
553	3423	2755
554	3428	2749
555	3433	2742
556	3438	2734
557	3444	2728
558	3448	2720
559	3453	2713
560	3459	2707
561	3464	2699
562	3468	2692
563	3474	2685
564	3479	2678
565	3484	2671
566	3490	2665
567	3495	2658
568	3500	2651
569	3506	2645
570	3511	2638
571	3516	2630
572	3522	2624
573	3527	2617
574	3532	2610
575	3537	2604
576	3542	2597
577	3547	2590
578	3553	2584
579	3559	2577
580	3564	2570
581	3569	2563
582	3575	2557
583	3580	2550
584	3585	2543
585	3590	2536
586	3595	2529
587	3600	2522
588	3607	2517
589	3612	2510
590	3617	2503
591	3622	2496
592	3627	2489
593	3632	2482
594	3637	2476
595	3642	2469
596	3647	2462
597	3653	2455
598	3657	2448
599	3663	2442
600	3668	2435
601	3673	2428
602	3678	2421
603	3684	2415
604	3689	2408
605	3694	2402
606	3702	2397
607	3708	2391
608	3714	2385
609	3719	2378
610	3724	2371
611	3730	2364
612	3735	2358
613	3740	2351
614	3746	2345
615	3750	2338
616	3756	2331
617	3761	2325
618	3766	2318
619	3772	2311
620	3777	2305
621	3782	2298
622	3787	2292
623	3792	2285
624	3798	2279
625	3804	2273
626	3810	2266
627	3816	2260
628	3821	2254
629	3827	2248
630	3832	2241
631	3836	2234
632	3841	2227
633	3846	2220
634	3850	2213
635	3854	2206
636	3860	2199
637	3864	2192
638	3869	2185
639	3873	2178
640	3877	2171
641	3881	2164
642	3886	2157
643	3891	2151
644	3896	2144
645	3900	2137
646	3904	2130
647	3908	2123
648	3913	2116
649	3917	2109
650	3921	2102
651	3926	2095
652	3931	2088
653	3935	2081
654	3940	2075
655	3944	2068
656	3949	2061
657	3953	2054
658	3957	2048
659	3962	2041
660	3966	2034
661	3971	2027
662	3975	2020
663	3979	2013
664	3983	2006
665	3988	2000
666	3992	1993
667	3997	1986
668	4001	1979
669	4007	1973
670	4012	1967
671	4016	1960
672	4021	1954
673	4025	1947
674	4030	1940
675	4034	1933
676	4038	1927
677	4043	1920
678	4047	1913
679	4052	1906
680	4057	1900
681	4061	1893
682	4066	1887
683	4070	1880
684	4074	1873
685	4079	1867
686	4083	1860
687	4088	1854
688	4092	1847
689	4097	1840
690	4102	1834
691	4107	1828
692	4111	1821
693	4116	1815
694	4121	1808
695	4125	1801
696	4130	1795
697	4135	1789
698	4139	1782
699	4143	1775
700	4149	1769
701	4153	1763
702	4157	1756
