iter	RMSE
332	12684.34127
333	12672.39365
334	12664.81073
335	12655.70862
336	12640.51303
337	12626.87682
338	12617.27528
339	12605.64596
340	12583.17765
341	12568.53445
342	12548.30612
343	12528.64926
344	12507.91205
345	12490.84674
346	12483.31121
347	12473.35069
348	12459.49946
349	12434.98878
350	12433.11226
351	12420.73587
352	12412.55386
353	12396.12409
354	12380.90025
355	12372.51867
356	12362.33837
357	12354.56988
358	12348.84678
359	12332.85785
360	12318.8191
361	12311.70841
362	12309.92919
363	12292.56712
364	12286.11096
365	12274.46539
366	12262.40918
367	12249.76114
368	12243.59593
369	12228.94933
370	12222.24778
371	12202.93948
372	12190.93025
373	12184.77266
374	12164.37053
375	12149.88224
376	12138.18463
377	12123.90764
378	12116.44633
379	12110.57559
380	12098.68578
381	12088.96285
382	12078.59361
383	12068.98143
384	12067.33588
385	12058.93421
386	12053.24702
387	12041.2002
388	12033.00279
389	12021.43016
390	12008.38896
391	12006.8527
392	11998.57141
393	11986.58969
394	11983.91431
395	11971.607
396	11961.13126
397	11946.45995
398	11938.04837
399	11934.12331
400	11931.25064
401	11924.44683
402	11921.60065
403	11919.43014
404	11912.02423
405	11896.96793
406	11885.66842
407	11872.76519
408	11864.47931
409	11857.66229
410	11846.95491
411	11833.25032
412	11821.91129
413	11811.64414
414	11798.38062
415	11789.27848
416	11777.41078
417	11767.69639
418	11754.83164
419	11743.87521
420	11733.3754
421	11732.30486
422	11723.21649
423	11722.18004
424	11719.08127
425	11717.24163
426	11707.49533
427	11698.6696
428	11684.98822
429	11675.68305
430	11664.90042
431	11656.70127
432	11655.83001
433	11640.48618
434	11637.78663
435	11631.42836
436	11622.90908
437	11621.40151
438	11617.1267
439	11607.17128
440	11599.98657
441	11589.53284
442	11578.23957
443	11569.66952
444	11561.52655
445	11556.60364
446	11550.02303
447	11533.65984
448	11524.52621
449	11517.16422
450	11506.55215
451	11495.66633
452	11490.64697
453	11482.18661
454	11471.15863
455	11465.14852
456	11455.43887
457	11447.08883
458	11442.58636
459	11430.87714
460	11414.12312
461	11404.88232
462	11400.52234
463	11392.51413
464	11387.36585
465	11379.63876
466	11371.03207
467	11362.34584
468	11353.51843
469	11342.49694
470	11324.13965
471	11308.69516
472	11298.21551
473	11291.88192
474	11283.29414
475	11273.12633
476	11268.57553
477	11254.79
478	11251.93683
479	11243.63485
480	11238.79796
481	11224.5643
482	11223.61676
483	11214.4284
484	11207.25822
485	11205.84171
486	11197.74257
487	11195.57715
488	11190.03699
489	11184.08643
490	11182.03256
491	11171.78448
492	11164.1374
493	11150.28304
494	11135.86861
495	11130.39213
496	11119.65315
497	11109.21975
498	11102.07
499	11095.1544
500	11089.30971
501	11079.1507
502	11073.33015
503	11059.74873
504	11049.19474
505	11043.66789
506	11038.0213
507	11034.261
508	11033.33451
509	11032.79381
510	11032.28475
511	11024.67351
512	11024.1902
513	11017.50334
514	11005.77881
515	10997.95236
516	10988.52237
517	10983.8411
518	10977.55136
519	10971.81973
520	10964.99504
521	10958.69799
522	10956.43786
523	10948.85824
524	10941.77888
525	10937.49776
526	10936.00468
527	10930.20425
528	10928.91192
529	10921.50738
530	10913.89891
531	10905.42794
532	10896.02213
533	10889.1875
534	10880.06217
535	10879.65546
536	10870.62639
537	10864.26631
538	10863.90417
539	10860.19745
540	10854.53602
541	10843.76311
542	10836.75154
543	10832.51348
544	10822.73207
545	10815.88376
546	10809.99672
547	10804.92121
548	10797.60902
549	10788.01844
550	10782.19163
551	10773.34869
552	10763.08159
553	10750.90011
554	10741.12876
555	10737.20101
556	10729.16119
557	10720.97824
558	10712.62367
559	10702.64521
560	10695.43169
561	10692.22966
562	10684.45999
563	10676.01263
564	10665.32495
565	10658.44447
566	10651.61556
567	10643.90491
568	10638.03122
569	10630.79028
570	10626.46691
571	10622.84731
572	10613.64871
573	10606.30602
574	10596.98324
575	10591.18613
576	10585.33611
577	10577.18371
578	10572.47663
579	10563.74089
580	10557.26363
581	10555.84037
582	10549.77436
583	10544.25507
584	10543.92387
585	10537.02933
586	10527.97191
587	10520.89054
588	10512.91392
589	10504.77025
590	10496.83375
591	10490.33169
592	10484.15189
593	10478.43407
594	10462.4747
595	10454.40511
596	10445.53617
597	10437.92833
598	10434.02493
599	10429.25787
600	10420.9176
601	10411.65059
602	10404.16618
603	10394.88322
604	10390.19736
605	10386.23783
606	10379.72194
607	10374.26619
608	10367.4999
609	10358.13086
610	10348.71036
611	10339.70404
612	10332.27845
613	10327.7285
614	10318.18291
615	10315.9281
616	10310.27563
617	10303.19187
618	10297.43738
619	10290.14855
620	10280.61062
621	10274.89733
622	10270.10372
623	10261.07816
624	10256.23628
625	10251.02264
626	10246.19393
627	10239.26315
628	10229.54358
629	10218.94369
630	10215.8388
631	10215.51306
632	10210.05963
633	10204.04473
634	10195.91398
635	10190.14757
636	10186.97937
637	10180.09534
638	10176.57178
639	10166.70499
640	10162.51021
641	10155.57399
642	10150.48256
643	10144.23087
644	10140.91705
645	10136.65811
646	10130.7129
647	10126.33154
648	10121.34525
649	10111.50467
650	10109.27289
651	10103.38012
652	10103.06303
653	10096.18287
654	10091.13941
655	10087.05257
656	10082.8913
657	10076.99151
658	10071.82681
659	10065.7606
660	10060.49046
661	10055.537
662	10048.56365
663	10048.25895
664	10043.4752
665	10039.08689
666	10038.79846
667	10035.07216
668	10030.96357
669	10023.30583
670	10017.09394
671	10007.77904
672	10002.23793
673	9993.330911
674	9992.100841
675	9983.517964
676	9980.84584
677	9973.01233
678	9970.262961
679	9965.971773
680	9960.891023
681	9952.812648
682	9947.719949
683	9943.513422
684	9934.848357
685	9929.025915
686	9924.942765
687	9917.430529
688	9907.731604
689	9897.234867
690	9889.696112
691	9882.957964
692	9877.852959
693	9870.569811
694	9866.149499
695	9854.767742
696	9848.300432
697	9844.401295
698	9834.438268
699	9829.700372
700	9824.800242
701	9820.483737
702	9815.002068
703	9812.523834
704	9804.837126
705	9799.029278
706	9792.977021
707	9787.433339
708	9784.592522
709	9775.04391
710	9773.234375
711	9768.747251
712	9764.357244
713	9759.187358
714	9754.640066
715	9754.393176
716	9752.08148
717	9748.159922
718	9743.884744
719	9741.096225
720	9738.276878
721	9736.186084
722	9727.483515
723	9723.704859
724	9715.057842
725	9712.365099
726	9707.325656
727	9702.606546
728	9694.868769
729	9689.606279
730	9687.024474
731	9683.474696
732	9679.737319
733	9670.567718
734	9668.405061
735	9663.47237
736	9656.305866
737	9653.693594
738	9650.183889
739	9645.077855
740	9640.992306
741	9636.289984
742	9631.318634
743	9626.117698
744	9623.135051
745	9622.900643
746	9616.907883
747	9614.558779
748	9608.602137
749	9605.166568
750	9601.889686
751	9598.333105
752	9595.249628
753	9590.921125
754	9585.555318
755	9583.872292
756	9576.346668
757	9568.424124
758	9562.618063
759	9557.702901
760	9550.994173
761	9548.05941
762	9545.480765
763	9544.113045
764	9536.756551
765	9534.026223
766	9527.75563
767	9517.958525
768	9513.364851
769	9507.558024
770	9498.747592
771	9493.016503
772	9486.748189
773	9479.54509
774	9475.901753
775	9462.394954
776	9456.132778
777	9447.127385
778	9446.766703
779	9443.693806
780	9439.055071
781	9434.772998
782	9431.875141
783	9425.713059
784	9422.040595
785	9421.069587
786	9416.70799
787	9412.008041
788	9406.56562
789	9401.913444
790	9396.742785
791	9395.338559
792	9390.706227
793	9382.229362
794	9377.381045
795	9370.672654
796	9365.535495
797	9362.932919
798	9356.998145
799	9351.855578
800	9347.855586
801	9342.772387
802	9337.89792
803	9333.644458
804	9328.88715
805	9323.537242
806	9322.317521
807	9319.320831
808	9315.733699
809	9309.690569
810	9307.34986
811	9304.688213
812	9298.406899
813	9294.99545
814	9291.192912
815	9289.999043
816	9288.866951
817	9287.811016
818	9284.42411
819	9277.805078
820	9271.958037
821	9266.382926
822	9255.66511
823	9248.3043
824	9243.669634
825	9238.669018
826	9235.159088
827	9230.111538
828	9222.371087
829	9218.518177
830	9213.005987
831	9208.789719
832	9206.091566
833	9203.87832
834	9199.695333
835	9196.810837
836	9194.274414
837	9191.870782
838	9185.263548
839	9180.862975
840	9171.100981
841	9168.719582
842	9165.006357
843	9158.459202
844	9149.778968
845	9144.950764
846	9136.860669
847	9127.928116
848	9122.909192
849	9119.025864
850	9109.58367
851	9107.554289
852	9103.675186
853	9097.358042
854	9096.425892
855	9087.348798
856	9084.035399
857	9081.693094
858	9076.809251
859	9072.181792
860	9069.562167
861	9060.704908
862	9059.753802
863	9055.866586
864	9052.31459
865	9046.689179
866	9043.931503
867	9041.49344
868	9036.722352
869	9032.879828
870	9026.027076
871	9023.954518
872	9020.510766
873	9018.724523
874	9014.844627
875	9012.646158
876	9007.39629
877	9006.642465
878	9004.999734
879	8995.113114
880	8986.341789
881	8983.137149
882	8976.953304
883	8971.215869
884	8965.644465
885	8964.567903
886	8962.309886
887	8960.333843
888	8959.392257
889	8953.194636
890	8946.829677
891	8945.228617
892	8943.23074
893	8934.585917
894	8931.982076
895	8923.283841
896	8916.23236
897	8914.454628
898	8910.827534
899	8906.266974
900	8902.637306
901	8899.067523
902	8896.451263
903	8893.651907
904	8886.145617
905	8881.848322
906	8877.529371
907	8873.135743
908	8867.143291
909	8860.122862
910	8853.460809
911	8847.67892
912	8840.416473
913	8835.295532
914	8832.373492
915	8827.929775
916	8815.399165
917	8811.315862
918	8806.487515
919	8803.659473
920	8799.137562
921	8796.339812
922	8793.989155
923	8789.408214
924	8786.54808
925	8780.889161
926	8776.719027
927	8773.880843
928	8770.271879
929	8766.447122
930	8761.686908
931	8758.582173
932	8752.622654
933	8747.506027
934	8745.579387
935	8740.757124
936	8737.221092
937	8732.732205
938	8728.521324
939	8725.213175
940	8721.009458
941	8717.538013
942	8712.873154
943	8706.588669
944	8704.436447
945	8697.168419
946	8693.057775
947	8691.541891
948	8686.711679
949	8683.638595
950	8681.211532
951	8678.120381
952	8677.52421
953	8671.646402
954	8667.23964
955	8662.097504
956	8657.229068
957	8655.925184
958	8654.500899
959	8651.362651
960	8646.824201
961	8646.272383
962	8642.252918
963	8640.641509
964	8635.659103
965	8630.345241
966	8624.18751
967	8620.528956
968	8617.577513
969	8615.238055
970	8611.272496
971	8606.924321
972	8604.443624
973	8602.290708
974	8598.880487
975	8594.626746
976	8591.399888
977	8587.754215
978	8582.712646
979	8576.592877
980	8573.09437
981	8569.047478
982	8563.030203
983	8558.420725
984	8553.684902
985	8550.731508
986	8547.606076
987	8543.94414
988	8539.897963
989	8536.596748
990	8533.461129
991	8529.510907
992	8524.116941
993	8521.389867
994	8518.375358
995	8516.173611
996	8512.498884
997	8506.14764
998	8501.380034
999	8498.361775
